LOKALNYID,ULICA_LOKALNYID,ULICA_NAZWA,NUMER_ADR,KOD_POCZTOWY,ETYKIETA_NAZWA_SKROCONA
pa_5919,ul_971,ul. Edwarda Abramowskiego,65,51-663,Abramowskiego 65
pa_25967,ul_971,ul. Edwarda Abramowskiego,66,51-663,Abramowskiego 66
pa_51432,ul_971,ul. Edwarda Abramowskiego,67,51-663,Abramowskiego 67
pa_32681,ul_971,ul. Edwarda Abramowskiego,68,51-663,Abramowskiego 68
pa_8122,ul_971,ul. Edwarda Abramowskiego,69,51-663,Abramowskiego 69
pa_37938,ul_971,ul. Edwarda Abramowskiego,7,51-663,Abramowskiego 7
pa_33672,ul_971,ul. Edwarda Abramowskiego,70,51-663,Abramowskiego 70
pa_19800,ul_971,ul. Edwarda Abramowskiego,71,51-663,Abramowskiego 71
pa_25627,ul_971,ul. Edwarda Abramowskiego,72,51-663,Abramowskiego 72
pa_43187,ul_971,ul. Edwarda Abramowskiego,73,51-663,Abramowskiego 73
pa_25730,ul_971,ul. Edwarda Abramowskiego,74,51-663,Abramowskiego 74
pa_41011,ul_971,ul. Edwarda Abramowskiego,8,51-663,Abramowskiego 8
pa_58430,ul_971,ul. Edwarda Abramowskiego,9,51-663,Abramowskiego 9
pa_10574,ul_951,ul. Heleny i Ludwika Adamczewskich,10,54-530,Adamczewskich 10
pa_32775,ul_951,ul. Heleny i Ludwika Adamczewskich,11,54-530,Adamczewskich 11
pa_55063,ul_951,ul. Heleny i Ludwika Adamczewskich,12,54-530,Adamczewskich 12
pa_529,ul_951,ul. Heleny i Ludwika Adamczewskich,12a,54-530,Adamczewskich 12a
pa_17529,ul_951,ul. Heleny i Ludwika Adamczewskich,13,54-530,Adamczewskich 13
pa_26534,ul_951,ul. Heleny i Ludwika Adamczewskich,14,54-530,Adamczewskich 14
pa_59112,ul_951,ul. Heleny i Ludwika Adamczewskich,14a,54-530,Adamczewskich 14a
pa_28884,ul_951,ul. Heleny i Ludwika Adamczewskich,15,54-530,Adamczewskich 15
pa_21152,ul_951,ul. Heleny i Ludwika Adamczewskich,16,54-530,Adamczewskich 16
pa_33021,ul_951,ul. Heleny i Ludwika Adamczewskich,17,54-530,Adamczewskich 17
pa_27023,ul_951,ul. Heleny i Ludwika Adamczewskich,18,54-530,Adamczewskich 18
pa_30657,ul_951,ul. Heleny i Ludwika Adamczewskich,2,54-530,Adamczewskich 2
pa_54855,ul_951,ul. Heleny i Ludwika Adamczewskich,20,54-530,Adamczewskich 20
pa_371,ul_951,ul. Heleny i Ludwika Adamczewskich,20a,54-530,Adamczewskich 20a
pa_7649,ul_951,ul. Heleny i Ludwika Adamczewskich,21,54-530,Adamczewskich 21
pa_43317,ul_951,ul. Heleny i Ludwika Adamczewskich,22,54-530,Adamczewskich 22
pa_24953,ul_951,ul. Heleny i Ludwika Adamczewskich,24,54-530,Adamczewskich 24
pa_38089,ul_951,ul. Heleny i Ludwika Adamczewskich,26,54-530,Adamczewskich 26
pa_24941,ul_951,ul. Heleny i Ludwika Adamczewskich,2a,54-530,Adamczewskich 2a
pa_39983,ul_951,ul. Heleny i Ludwika Adamczewskich,3,54-530,Adamczewskich 3
pa_36361,ul_951,ul. Heleny i Ludwika Adamczewskich,4,54-530,Adamczewskich 4
pa_59624,ul_951,ul. Heleny i Ludwika Adamczewskich,5,54-530,Adamczewskich 5
pa_19203,ul_951,ul. Heleny i Ludwika Adamczewskich,6,54-530,Adamczewskich 6
pa_18941,ul_951,ul. Heleny i Ludwika Adamczewskich,8,54-530,Adamczewskich 8
pa_47795,ul_951,ul. Heleny i Ludwika Adamczewskich,8a,54-530,Adamczewskich 8a
pa_12383,ul_951,ul. Heleny i Ludwika Adamczewskich,9,54-530,Adamczewskich 9
pa_45634,ul_1466,ul. Karola Adamieckiego,1a,52-435,Adamieckiego 1a
pa_21299,ul_1466,ul. Karola Adamieckiego,2,52-435,Adamieckiego 2
pa_3514,ul_1466,ul. Karola Adamieckiego,2a,52-435,Adamieckiego 2a
pa_23060,ul_1466,ul. Karola Adamieckiego,3,52-435,Adamieckiego 3
pa_58011,ul_1466,ul. Karola Adamieckiego,3a,52-435,Adamieckiego 3a
pa_45952,ul_1466,ul. Karola Adamieckiego,3b,52-435,Adamieckiego 3b
pa_37922,ul_1466,ul. Karola Adamieckiego,3c,52-435,Adamieckiego 3c
pa_35235,ul_1466,ul. Karola Adamieckiego,3d,52-435,Adamieckiego 3d
pa_43782,ul_1466,ul. Karola Adamieckiego,4,52-435,Adamieckiego 4
pa_34879,ul_1466,ul. Karola Adamieckiego,5,52-435,Adamieckiego 5
pa_26367,ul_1466,ul. Karola Adamieckiego,6,52-435,Adamieckiego 6
pa_41754,ul_1466,ul. Karola Adamieckiego,7,52-435,Adamieckiego 7
pa_54267,ul_1466,ul. Karola Adamieckiego,8,52-435,Adamieckiego 8
pa_19473,ul_1466,ul. Karola Adamieckiego,8a,52-435,Adamieckiego 8a
pa_52908,ul_702,ul. adm. Józefa Unruga,1,52-212,adm. Unruga 1
pa_22392,ul_702,ul. adm. Józefa Unruga,10,52-212,adm. Unruga 10
pa_58559,ul_702,ul. adm. Józefa Unruga,10a,52-212,adm. Unruga 10a
pa_30446,ul_702,ul. adm. Józefa Unruga,11,52-212,adm. Unruga 11
pa_15346,ul_702,ul. adm. Józefa Unruga,12,52-212,adm. Unruga 12
pa_14632,ul_702,ul. adm. Józefa Unruga,13-15,52-212,adm. Unruga 13-15
pa_37277,ul_702,ul. adm. Józefa Unruga,14,52-212,adm. Unruga 14
pa_51140,ul_702,ul. adm. Józefa Unruga,16,52-212,adm. Unruga 16
pa_24704,ul_702,ul. adm. Józefa Unruga,17,52-212,adm. Unruga 17
pa_53611,ul_702,ul. adm. Józefa Unruga,18,52-212,adm. Unruga 18
pa_37792,ul_702,ul. adm. Józefa Unruga,19,52-212,adm. Unruga 19
pa_26976,ul_702,ul. adm. Józefa Unruga,2,52-212,adm. Unruga 2
pa_57827,ul_702,ul. adm. Józefa Unruga,22a,52-212,adm. Unruga 22a
pa_59595,ul_702,ul. adm. Józefa Unruga,25,52-212,adm. Unruga 25
pa_59133,ul_702,ul. adm. Józefa Unruga,3,52-212,adm. Unruga 3
pa_42770,ul_702,ul. adm. Józefa Unruga,30,52-212,adm. Unruga 30
pa_47099,ul_702,ul. adm. Józefa Unruga,30a,52-212,adm. Unruga 30a
pa_40126,ul_702,ul. adm. Józefa Unruga,30b,52-212,adm. Unruga 30b
pa_39494,ul_702,ul. adm. Józefa Unruga,32,52-212,adm. Unruga 32
pa_35555,ul_702,ul. adm. Józefa Unruga,33,52-212,adm. Unruga 33
pa_39361,ul_702,ul. adm. Józefa Unruga,34,52-212,adm. Unruga 34
pa_19926,ul_702,ul. adm. Józefa Unruga,35,52-212,adm. Unruga 35
pa_35197,ul_702,ul. adm. Józefa Unruga,36,52-212,adm. Unruga 36
pa_42323,ul_702,ul. adm. Józefa Unruga,37,52-212,adm. Unruga 37
pa_2643,ul_702,ul. adm. Józefa Unruga,38,52-212,adm. Unruga 38
pa_46356,ul_702,ul. adm. Józefa Unruga,39,52-212,adm. Unruga 39
pa_34392,ul_702,ul. adm. Józefa Unruga,4,52-212,adm. Unruga 4
pa_2642,ul_702,ul. adm. Józefa Unruga,40,52-212,adm. Unruga 40
pa_2617,ul_702,ul. adm. Józefa Unruga,42,52-212,adm. Unruga 42
pa_47745,ul_702,ul. adm. Józefa Unruga,43,52-212,adm. Unruga 43
pa_2618,ul_702,ul. adm. Józefa Unruga,44,52-212,adm. Unruga 44
pa_10202,ul_702,ul. adm. Józefa Unruga,45,52-212,adm. Unruga 45
pa_2619,ul_702,ul. adm. Józefa Unruga,46,52-212,adm. Unruga 46
pa_40289,ul_702,ul. adm. Józefa Unruga,47,52-212,adm. Unruga 47
pa_2620,ul_702,ul. adm. Józefa Unruga,48,52-212,adm. Unruga 48
pa_26197,ul_702,ul. adm. Józefa Unruga,5,52-212,adm. Unruga 5
pa_2640,ul_702,ul. adm. Józefa Unruga,50,52-212,adm. Unruga 50
pa_8545,ul_702,ul. adm. Józefa Unruga,51,52-212,adm. Unruga 51
pa_2641,ul_702,ul. adm. Józefa Unruga,52,52-212,adm. Unruga 52
pa_18534,ul_702,ul. adm. Józefa Unruga,53,52-212,adm. Unruga 53
pa_2639,ul_702,ul. adm. Józefa Unruga,54,52-212,adm. Unruga 54
pa_54475,ul_702,ul. adm. Józefa Unruga,55,52-212,adm. Unruga 55
pa_2638,ul_702,ul. adm. Józefa Unruga,56,52-212,adm. Unruga 56
pa_58787,ul_702,ul. adm. Józefa Unruga,57,52-212,adm. Unruga 57
pa_2621,ul_702,ul. adm. Józefa Unruga,58,52-212,adm. Unruga 58
pa_38659,ul_702,ul. adm. Józefa Unruga,6,52-212,adm. Unruga 6
pa_2622,ul_702,ul. adm. Józefa Unruga,60,52-212,adm. Unruga 60
pa_2623,ul_702,ul. adm. Józefa Unruga,62,52-212,adm. Unruga 62
pa_2631,ul_702,ul. adm. Józefa Unruga,64,52-212,adm. Unruga 64
pa_2636,ul_702,ul. adm. Józefa Unruga,66,52-212,adm. Unruga 66
pa_2637,ul_702,ul. adm. Józefa Unruga,68,52-212,adm. Unruga 68
pa_7552,ul_702,ul. adm. Józefa Unruga,7,52-212,adm. Unruga 7
pa_2632,ul_702,ul. adm. Józefa Unruga,70,52-212,adm. Unruga 70
pa_2633,ul_702,ul. adm. Józefa Unruga,72,52-212,adm. Unruga 72
pa_2634,ul_702,ul. adm. Józefa Unruga,74,52-212,adm. Unruga 74
pa_2635,ul_702,ul. adm. Józefa Unruga,76,52-212,adm. Unruga 76
pa_17411,ul_702,ul. adm. Józefa Unruga,8,52-212,adm. Unruga 8
pa_76561,ul_702,ul. adm. Józefa Unruga,86,52-212,adm. Unruga 86
pa_72807,ul_702,ul. adm. Józefa Unruga,88,52-212,adm. Unruga 88
pa_11959,ul_702,ul. adm. Józefa Unruga,9,52-212,adm. Unruga 9
pa_4192,ul_457,ul. Afgańska,10,52-117,Afgańska 10
pa_76659,ul_457,ul. Afgańska,10a,52-117,Afgańska 10a
pa_76660,ul_457,ul. Afgańska,10b,52-117,Afgańska 10b
pa_2758,ul_457,ul. Afgańska,12,52-117,Afgańska 12
pa_76662,ul_457,ul. Afgańska,12a,52-117,Afgańska 12a
pa_76661,ul_457,ul. Afgańska,12b,52-117,Afgańska 12b
pa_4065,ul_457,ul. Afgańska,14,52-117,Afgańska 14
pa_4402,ul_457,ul. Afgańska,2,52-117,Afgańska 2
pa_76653,ul_457,ul. Afgańska,2a,52-117,Afgańska 2a
pa_76654,ul_457,ul. Afgańska,2b,52-117,Afgańska 2b
pa_17754,ul_457,ul. Afgańska,3,52-117,Afgańska 3
pa_5586,ul_457,ul. Afgańska,4,52-117,Afgańska 4
pa_76655,ul_457,ul. Afgańska,4a,52-117,Afgańska 4a
pa_76656,ul_457,ul. Afgańska,4b,52-117,Afgańska 4b
pa_3169,ul_457,ul. Afgańska,6,52-117,Afgańska 6
pa_4723,ul_457,ul. Afgańska,8,52-117,Afgańska 8
pa_76657,ul_457,ul. Afgańska,8a,52-117,Afgańska 8a
pa_76658,ul_457,ul. Afgańska,8b,52-117,Afgańska 8b
pa_3890,ul_116,ul. Agatowa,10,52-214,Agatowa 10
pa_3307,ul_116,ul. Agatowa,11,52-214,Agatowa 11
pa_3303,ul_116,ul. Agatowa,12,52-214,Agatowa 12
pa_3305,ul_116,ul. Agatowa,13,52-214,Agatowa 13
pa_3306,ul_116,ul. Agatowa,14,52-214,Agatowa 14
pa_3308,ul_116,ul. Agatowa,15,52-214,Agatowa 15
pa_1870,ul_116,ul. Agatowa,16,52-214,Agatowa 16
pa_1941,ul_116,ul. Agatowa,17,52-214,Agatowa 17
pa_5395,ul_116,ul. Agatowa,18,52-214,Agatowa 18
pa_4555,ul_116,ul. Agatowa,19,52-214,Agatowa 19
pa_1253,ul_116,ul. Agatowa,2,52-214,Agatowa 2
pa_4494,ul_116,ul. Agatowa,20,52-214,Agatowa 20
pa_5336,ul_116,ul. Agatowa,21,52-214,Agatowa 21
pa_5735,ul_116,ul. Agatowa,22,52-214,Agatowa 22
pa_4470,ul_116,ul. Agatowa,23,52-214,Agatowa 23
pa_4630,ul_116,ul. Agatowa,24,52-214,Agatowa 24
pa_1808,ul_116,ul. Agatowa,25,52-214,Agatowa 25
pa_5772,ul_116,ul. Agatowa,26,52-214,Agatowa 26
pa_5122,ul_116,ul. Agatowa,27,52-214,Agatowa 27
pa_4867,ul_116,ul. Agatowa,28,52-214,Agatowa 28
pa_4738,ul_116,ul. Agatowa,29,52-214,Agatowa 29
pa_1254,ul_116,ul. Agatowa,2a,52-214,Agatowa 2a
pa_1255,ul_116,ul. Agatowa,2b,52-214,Agatowa 2b
pa_1256,ul_116,ul. Agatowa,2c,52-214,Agatowa 2c
pa_1479,ul_116,ul. Agatowa,30,52-214,Agatowa 30
pa_5581,ul_116,ul. Agatowa,31,52-214,Agatowa 31
pa_1815,ul_116,ul. Agatowa,32,52-214,Agatowa 32
pa_3479,ul_116,ul. Agatowa,33,52-214,Agatowa 33
pa_1858,ul_116,ul. Agatowa,34,52-214,Agatowa 34
pa_3300,ul_116,ul. Agatowa,35,52-214,Agatowa 35
pa_3269,ul_116,ul. Agatowa,36,52-214,Agatowa 36
pa_4293,ul_116,ul. Agatowa,37,52-214,Agatowa 37
pa_4708,ul_116,ul. Agatowa,38,52-214,Agatowa 38
pa_5661,ul_116,ul. Agatowa,39,52-214,Agatowa 39
pa_1257,ul_116,ul. Agatowa,4,52-214,Agatowa 4
pa_2334,ul_116,ul. Agatowa,40,52-214,Agatowa 40
pa_5157,ul_116,ul. Agatowa,41,52-214,Agatowa 41
pa_4832,ul_116,ul. Agatowa,42,52-214,Agatowa 42
pa_4278,ul_116,ul. Agatowa,43,52-214,Agatowa 43
pa_4476,ul_116,ul. Agatowa,44,52-214,Agatowa 44
pa_4297,ul_116,ul. Agatowa,45,52-214,Agatowa 45
pa_3756,ul_116,ul. Agatowa,46,52-214,Agatowa 46
pa_4572,ul_116,ul. Agatowa,47,52-214,Agatowa 47
pa_1935,ul_116,ul. Agatowa,48,52-214,Agatowa 48
pa_1258,ul_116,ul. Agatowa,4a,52-214,Agatowa 4a
pa_4257,ul_116,ul. Agatowa,50,52-214,Agatowa 50
pa_4228,ul_116,ul. Agatowa,52,52-214,Agatowa 52
pa_1259,ul_116,ul. Agatowa,6,52-214,Agatowa 6
pa_1260,ul_116,ul. Agatowa,6a,52-214,Agatowa 6a
pa_5487,ul_116,ul. Agatowa,7,52-214,Agatowa 7
pa_1248,ul_116,ul. Agatowa,8,52-214,Agatowa 8
pa_5359,ul_116,ul. Agatowa,9,52-214,Agatowa 9
pa_38258,ul_458,ul. Agrestowa,1,53-006,Agrestowa 1
pa_39917,ul_458,ul. Agrestowa,10,53-006,Agrestowa 10
pa_8779,ul_458,ul. Agrestowa,100,53-006,Agrestowa 100
pa_2086,ul_458,ul. Agrestowa,100b,53-006,Agrestowa 100b
pa_6470,ul_458,ul. Agrestowa,100c,53-006,Agrestowa 100c
pa_11706,ul_458,ul. Agrestowa,100d,53-006,Agrestowa 100d
pa_17695,ul_458,ul. Agrestowa,100e,53-006,Agrestowa 100e
pa_57857,ul_458,ul. Agrestowa,100f,53-006,Agrestowa 100f
pa_46015,ul_458,ul. Agrestowa,100g,53-006,Agrestowa 100g
pa_7462,ul_458,ul. Agrestowa,101,53-006,Agrestowa 101
pa_27730,ul_458,ul. Agrestowa,102,53-035,Agrestowa 102
pa_7338,ul_458,ul. Agrestowa,103,53-035,Agrestowa 103
pa_30441,ul_458,ul. Agrestowa,104,53-035,Agrestowa 104
pa_47832,ul_458,ul. Agrestowa,105,53-035,Agrestowa 105
pa_58938,ul_458,ul. Agrestowa,107,53-035,Agrestowa 107
pa_18587,ul_458,ul. Agrestowa,108,53-035,Agrestowa 108
pa_38906,ul_458,ul. Agrestowa,108a,53-035,Agrestowa 108a
pa_31857,ul_458,ul. Agrestowa,108b,53-035,Agrestowa 108b
pa_56545,ul_458,ul. Agrestowa,108c,53-035,Agrestowa 108c
pa_90532,ul_458,ul. Agrestowa,108e,53-035,Agrestowa 108e
pa_30313,ul_458,ul. Agrestowa,109,53-035,Agrestowa 109
pa_45764,ul_458,ul. Agrestowa,11,53-006,Agrestowa 11
pa_54379,ul_458,ul. Agrestowa,110,53-035,Agrestowa 110
pa_28376,ul_458,ul. Agrestowa,110a,53-035,Agrestowa 110a
pa_17697,ul_458,ul. Agrestowa,110b,53-035,Agrestowa 110b
pa_13552,ul_458,ul. Agrestowa,110c,53-035,Agrestowa 110c
pa_66621,ul_458,ul. Agrestowa,110ca,53-035,Agrestowa 110ca
pa_66622,ul_458,ul. Agrestowa,110cb,53-035,Agrestowa 110cb
pa_64629,ul_458,ul. Agrestowa,110d,53-035,Agrestowa 110d
pa_56178,ul_458,ul. Agrestowa,111,53-035,Agrestowa 111
pa_36101,ul_458,ul. Agrestowa,112,53-035,Agrestowa 112
pa_60636,ul_458,ul. Agrestowa,112a,53-035,Agrestowa 112a
pa_2428,ul_458,ul. Agrestowa,112d,53-035,Agrestowa 112d
pa_40895,ul_458,ul. Agrestowa,113,53-035,Agrestowa 113
pa_16759,ul_458,ul. Agrestowa,114,53-035,Agrestowa 114
pa_59467,ul_458,ul. Agrestowa,115,53-035,Agrestowa 115
pa_56209,ul_458,ul. Agrestowa,116,53-035,Agrestowa 116
pa_40944,ul_458,ul. Agrestowa,117,53-035,Agrestowa 117
pa_31295,ul_458,ul. Agrestowa,118,53-035,Agrestowa 118
pa_12126,ul_458,ul. Agrestowa,119,53-035,Agrestowa 119
pa_19883,ul_458,ul. Agrestowa,12,53-006,Agrestowa 12
pa_14621,ul_458,ul. Agrestowa,120,53-035,Agrestowa 120
pa_40495,ul_458,ul. Agrestowa,121,53-035,Agrestowa 121
pa_20984,ul_458,ul. Agrestowa,123,53-035,Agrestowa 123
pa_4808,ul_458,ul. Agrestowa,124,53-035,Agrestowa 124
pa_19508,ul_458,ul. Agrestowa,125,53-035,Agrestowa 125
pa_4681,ul_458,ul. Agrestowa,126,53-035,Agrestowa 126
pa_33381,ul_458,ul. Agrestowa,127,53-035,Agrestowa 127
pa_5260,ul_458,ul. Agrestowa,128,53-035,Agrestowa 128
